Year,Area,St,St 2
2011,Birmingham,Acocks Green,
2011,,Adderly St,
2011,,"Alcester Rd, Mosley",
2011,,Alcester Rd,
2011,,Alcester Rd Moseley,
2011,,Alcester Rd Moseley,
2011,,Alfred St,
2011,,"All Service Club, Mosley",
2011,,Alum Rock Rd,
2011,,Alum Rock Rd,
2011,,Alum Rock Rd,
2011,,Alum Rock Rd,
2011,,Arcadian Centre,
2011,,"Arden Rd, Saltley",
2011,,"Asda, Chemsley Wood",
2011,,"Balsahll Heath Park, JW Brighton Rd",
2011,,Bamford Rd,
2011,,Bamford Rd,
2011,,Beechbrook Ave Sparkhill,
2011,,Belchers Lane,
2011,,Belchers Lane,
2011,,Belchers Lane,
2011,,"Belchers Lane, Bordesley Green",
2011,,Bell St,
2011,,"Berkley Rd East, Haymills",
2011,,Birmingham Airport,
2011,,Birmingham International Railway Station,
2011,,Bordesley Green,
2011,,"Bordesley Green, Bordesley Green",
2011,,Bristol Rd,
2011,,Bristol St,
2011,,BRd St,
2011,,BRd St,
2011,,BRd St Birmingham,
2011,,Buckland End Lane Shard End,
2011,,"Bulls Head Ph, St Marys Row",
2011,,"Bushbury Rd, Kitts Green",
2011,,Chartice Rd,
2011,,Chestnut Rd,
2011,,"Church Rd, Stechford",
2011,,"Church Rd, Sheldon",
2011,,Clifford Rd Dorridge,
2011,,Clock Lane,
2011,,"Colonial Rd, Bordesley Green",
2011,,"Corporation St,Birmingham",
2011,,Corporation St,
2011,,Coventry Rd Small Heath,
2011,,"Coventry Rd, Small Heath, Bham",
2011,,Coventry Rd,
2011,,Coventry Rd,
2011,,Coventry Rd,
2011,,Coventry Rd,
2011,,Coventry Rd,
2011,,"Coventry Rd, Small Heath",
2011,,"Coventry Rd, Small Heath",
2011,,"Coventry Rd,Small Heath",
2011,,Cranes Park Rd,
2011,,Cranes Park Rd Sheldon,
2011,,Crossfield Rd,
2011,,Crossfields Rd Kitts Green,
2011,,"Cxhurch Rd, Stechford, Bham",
2011,,Digbeth High St,
2011,,Edgbaston Rd,
2011,,Edward Rd Moseley,
2011,,Fighting Cox Ph,
2011,,"Foremans Rd, Sparkhill",
2011,,"Front Office, Kings Heath",
2011,,"Garretts Green Rd, Garretts Green",
2011,,Giles Close,
2011,,"Giles Close, Stechford",
2011,,Glazedale Rd,
2011,,Gospel Farm Rd,
2011,,Gospel Farm Rd,
2011,,Gospel Lane,
2011,,Gospel Lane,
2011,,Gospel Lane,
2011,,"Gospel Lane, Acocks Green",
2011,,"Grace Church, Sutton Coldfield",
2011,,Great Hampton St,
2011,,Green Lane,
2011,,Greswell Lane Shard End,
2011,,"Harlequin Drive, Mosley",
2011,,Haslucks Green Rd,
2011,,Hazeldean Rd,
2011,,Heartlands Hospital,
2011,,Heartlands Hospital,
2011,,Heartlands Hospital A & E,
2011,,Heartlands Hospital A & E,
2011,,Heartlands Hospital A & E,
